,STATE,Year,NO2 (in ppb)
1240,Ohio,2004,32.18616629874908
1241,Ohio,2005,34.91390261115032
1242,Ohio,2006,31.5187617260788
1243,Ohio,2007,27.67531380753138
1244,Ohio,2008,24.988849431818185
1245,Ohio,2009,21.509805653710245
1246,Ohio,2010,20.731315577078288
1247,Ohio,2011,19.712367149758453
1248,Ohio,2012,25.786632390745503
1249,Ohio,2013,22.738993710691823
1250,Ohio,2014,25.696640826873384
1251,Ohio,2015,24.385764499121265
1252,Ohio,2016,22.262509928514696
1253,Ohio,2017,21.124137931034483
1254,Ohio,2018,20.868113522537563
1255,Ohio,2019,20.2668661971831
1256,Ohio,2020,20.088333333333335
1257,Oklahoma,1980,39.72631578947368
1258,Oklahoma,1981,35.60303030303031
1259,Oklahoma,1982,35.279238505747124
1260,Oklahoma,1983,33.47712248865846
1261,Oklahoma,1984,34.22038533250466
1262,Oklahoma,1985,31.625700431034485
1263,Oklahoma,1986,30.688938053097345
1264,Oklahoma,1987,26.761615044247787
1265,Oklahoma,1988,29.278048780487804
1266,Oklahoma,1989,27.65932696302451
1267,Oklahoma,1990,24.774097874443896
1268,Oklahoma,1991,24.90050505050505
1269,Oklahoma,1992,23.667441860465118
1270,Oklahoma,1993,23.29290809903483
1271,Oklahoma,1994,24.772961373390558
1272,Oklahoma,1995,22.766228070175437
1273,Oklahoma,1996,24.076114381833474
1274,Oklahoma,1997,22.58316831683168
1275,Oklahoma,1998,21.023903177004538
1276,Oklahoma,1999,23.757496740547587
1277,Oklahoma,2000,21.648785425101213
1278,Oklahoma,2001,21.359790402647548
1279,Oklahoma,2002,21.187196896217266
1280,Oklahoma,2003,20.262589928057555
1281,Oklahoma,2004,16.00356138706654
1282,Oklahoma,2005,21.445864661654134
1283,Oklahoma,2006,18.19297541394882
1284,Oklahoma,2007,16.96429780033841
1285,Oklahoma,2008,14.425
1286,Oklahoma,2009,13.750343007915568
1287,Oklahoma,2010,15.826679973386561
1288,Oklahoma,2011,17.608743169398906
1289,Oklahoma,2012,17.005778301886792
1290,Oklahoma,2013,16.522182890855458
1291,Oklahoma,2014,15.373215339233038
1292,Oklahoma,2015,18.227677564825253
1293,Oklahoma,2016,16.73551538837323
1294,Oklahoma,2017,17.22723059096176
1295,Oklahoma,2018,17.480090157776107
1296,Oklahoma,2019,15.368871925360477
1297,Oklahoma,2020,18.814556962025314
1298,Oregon,1980,44.02212065813528
1299,Oregon,1981,36.81888489208633
1300,Oregon,1982,33.82173913043478
1301,Oregon,1983,35.60664739884393
1302,Oregon,1984,36.27824427480916
1303,Oregon,1985,33.18488372093023
1304,Oregon,1986,34.25692307692308
1305,Oregon,1987,34.35290102389079
1306,Oregon,1988,32.80494505494506
1307,Oregon,1989,28.1
1308,Oregon,1990,32.99180327868852
1309,Oregon,1991,28.864406779661017
1310,Oregon,1992,28.69896907216495
1311,Oregon,1993,27.61496598639456
1312,Oregon,1994,25.068027210884352
1313,Oregon,1995,27.060344827586206
1314,Oregon,1996,31.36764705882353
1315,Oregon,1997,23.106382978723403
1316,Oregon,1998,25.38562091503268
